apple_music_id,artist,name,effective_bpm,consensus_bpm,djay_bpm_diff,bpm_diff,djay_bpm,djay_manual_bpm,djay_straight_grid,apple_music_bpm,beatunes_bpm,beatunes_bpm_salience,bpm_rhythm,bpm_rhythm_confidence,bpm_percival,effective_key,consensus_key,key_diff,djay_key,essentia_key,beatunes_key,apple_music_key,edma_key,edma_strength,edmm_key,edmm_strength,bgate_key,bgate_strength,braw_key,braw_strength,shaath_key,shaath_strength,temperley_key,temperley_strength,noland_key,noland_strength
FEB17DCD707E506D,Aphex Twin,Iz-Us,118.99,118.99,0.0,0.2,119.0,,False,119,118.99513244628906,0.9473683834075928,118.99,2.5953,118.8,7m,7m,4,7m,7m,7m,7m,7m,0.7591,7m,0.753,8d,0.8082,8d,0.7209,8m,0.7488,8d,0.7874,7m,0.8865
0B621477B8A7D2EC,Róisín Murphy,You Knew,120.0,120.0,0.0,0.19,120.0,,False,120,120.0,1.0,120.0,1.8492,120.19,11m,11m,4,11m,11m,11m,11m,11m,0.7998,11m,0.8169,10m,0.8362,10m,0.724,11m,0.851,10d,0.8958,10d,0.9366
6A3412E39F12BDCC,Efdemin,Parallaxis (Traumprinz's Over 2 The End Version),123.0,123.0,0.0,0.07,123.0,,True,123,122.97740936279297,0.9897959232330322,123.0,2.6796,123.05,1d,1d,4,2d,1d,2m,1d,1d,0.7805,2m,0.7634,1d,0.8538,1d,0.8521,2m,0.8484,1d,0.8528,1d,0.8607
056BB1EDF5E80113,Galcher Lustwerk,In the Place,126.0,126.0,0.0,0.05,126.0,,True,126,126.0,1.0,126.01,2.9104,126.05,2d,2d,4,11m,2d,2d,2d,2d,0.7433,3m,0.5663,2d,0.8027,2d,0.8279,2d,0.8182,2d,0.7732,2d,0.7097
BA5EAC90BC085B11,Larry Heard & Mr. White,The Sun Can't Compare (Long Version),128.0,128.0,0.0,0.03,128.0,,True,128,127.98483276367188,0.8787878751754761,128.01,3.417,128.0,1d,1d,4,2m,1d,1m,1d,1d,0.7758,10m,0.5744,1d,0.7966,1d,0.8261,1d,0.8308,1d,0.7522,1d,0.6535
3ECA64B01BFE8FC3,DJ Koze,Mariposa,124.0,124.0,0.0,41.32,124.01,,True,124,124.0,1.0,123.99,1.5802,82.69,4m,4m,3,5m,4m,4m,4m,5m,0.7791,4m,0.8013,4m,0.7721,4m,0.7168,5m,0.7882,4d,0.8008,4m,0.8432
BCF4FFC5EFDDC171,Aluna & KAYTRANADA,The Recipe (Bella Boo Remix),125.99,125.99,0.0,2.2,126.0,,True,126,125.9739761352539,0.979899525642395,123.85,2.5177,126.05,9m,9m,3,11m,9m,10m,9m,9m,0.8875,9m,0.873,9m,0.9086,9m,0.8683,9m,0.7938,9m,0.7249,9m,0.948
9E3B1EA114B67B7F,DJ Koze,Hicc Up,124.52,124.52,0.0,0.99,124.52,,False,125,124.51512145996094,0.8586387634277344,123.54,1.3765,124.53,11m,11m,3,11m,11m,1m,11m,11m,0.7456,11m,0.7799,11m,0.7235,11m,0.7094,11m,0.7713,12d,0.6215,11m,0.7907
C0F213BCA151C676,Tony Lionni,Found a Place,124.62,124.62,0.0,0.78,124.74,,True,125,124.71226501464844,0.9685864448547363,123.96,2.6694,124.53,11m,11m,3,11m,11m,10m,11m,11m,0.7732,11m,0.7945,12d,0.8374,12d,0.779,11m,0.7891,11d,0.7493,11d,0.8945
C8F38A78EF8E1ADC,Morning Factory,Diane's Love,116.06,116.06,0.0,0.76,116.0,,True,116,115.99856567382812,0.964285671710968,116.76,3.0943,116.13,2m,2m,3,3m,2m,2m,2m,2m,0.8338,2m,0.8023,2m,0.7977,2m,0.7764,2m,0.838,1d,0.7898,1d,0.8698
