apple_music_id,artist,name,key,bpm,djay_bpm,djay_manual_bpm,apple_music_bpm,djay_am_bpm_diff,open_key,essentia_key,comment,key_diff
BFF411ED275DF3B6,Fred again..,Yasminah (See Your Face Again),,118.0,118.0,,118,0.0,Key 6m,Key 6m,Key 5m,2
298B765C66628A1E,Fred again.. & The Blessed Madonna,Marea (We’ve Lost Dancing),,123.0,123.0,,123,0.0,Key 8m,Key 9m,Key 9m,2
5CCDC20B047FFD66,Ede & Deckert feat. Sargland,"Narciss ""Venice"" Remix",,131.0,131.0,,131,0.0,Key 6m,Key 6m,Key 7m,2
90A0DDFC5B38D7A1,"Fred again.., Jozzy, Jim Legxacy",ten,,128.2,128.2,,128,0.2,Key 3d,Key 3d,Key 2m,2
83D39A3FAF03F6F0,Daphni,Yes I Know,,116.0,116.0,,116,0.0,Key 4m,Key 4m,Key 3d,2
520C6A3A56367859,Weval,Something,,85.0,85.0,,85,0.0,Key 2m,Key 2m,Key 2m,0
0575419A2E6CA0A4,Jamie XX feat. Young Thug & Popcaan,I Know There's Gonna Be (Good Times),,89.5,89.5,,90,-0.5,Key 3m,Key 3m,Key 3m,0
9C828D054A8A2DFA,Constantijn Lange,Snagsens Delight,,93.0,93.0,,93,0.0,Key 6m,Key 6m,Key 6m,0
7CB565F0DF8F5339,Gregor Schwellenbach feat. Christian Buck,Superpitcher’s Tomorrow,,94.0,94.0,,94,0.0,Key 2d,Key 2d,Key 2m,0
180C143AC2928700,Pavla & Noura,Don't Owe Me a Thing,,94.0,94.0,,94,0.0,Key 12d,Key 12d,Key 12m,0
F1387B1A3E935747,Nightmares On Wax,Les Nuits,,94.64,94.64,,95,-0.36,Key 10m,Key 10m,Key 10m,0
500F6975EB363494,Superpitcher,Tomorrow (Original Mix),,94.5,94.5,,95,-0.5,Key 2m,Key 2m,Key 2m,0
8641317169EE5DD9,DJ Koze feat. Ada,Homesick,,97.0,97.0,,97,0.0,Key 1m,Key 1m,Key 1m,0
9BAB5CF0098CAE0E,Al Rajul Al Hadidi,Void,,98.0,98.0,,98,0.0,Key 9m,Key 9m,Key 9m,0
B65843F784D21727,dwig,one for good,,97.5,97.5,,98,-0.5,Key 7m,Key 7m,Key 7m,0
DFBA85DD41B77838,Logic1000,Fused (DJ - Kicks),,98.0,98.0,,98,0.0,Key 4m,Key 4m,Key 4m,0
